External ID,Document Number,Transaction Number,Maximum of Linked Invoice,Type,Date,Period,Terms,Maximum of Due Date/Receive By,Vendor Category,Vendor Name,Vendor Number,Company Name,Vendor VAT Registration Number,Vendor Billing Address,Vendor Billing Country,Bill to City,Bill to State,Bill to Country,Bill to Zip,Source System,Source System Identifier,City,State/Province,Country,Zip,Currency,Memo (Main),Maximum of GMAX Tax Code,Maximum of NetSuite Tax Item,Maximum of Coupa Tax Code,Maximum of External System Tax Code,Maximum of Tax Code (Consolidated),FOP Type,Sum of Asset,Sum of Accounts Payable,Sum of Other Liabilities,Sum of Income,Sum of Expense,Sum of VAT
20200101_FINREP_bjhamb_253150 account reclass_06,JE-DK0289677,TJE-DK0289677, ,Journal,1/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,FINREP,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,0,,,
565788256-SUMVOID,JE-DK0290724,TJE-DK0290724,Credit Memo #CM-DK0296577,Journal,1/20/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Summary JE Reversal,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,E218 | Void Script Reversal Transaction,,,,,,- None -,,,,0,,
565788266-SUMVOID,JE-DK0290725,TJE-DK0290725,Credit Memo #CM-DK0296581,Journal,1/20/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Summary JE Reversal,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,E218 | Void Script Reversal Transaction,,,,,,- None -,,,,0,,
566326875-SUMVOID,JE-DK0290726,TJE-DK0290726,Credit Memo #CM-DK0296872,Journal,1/22/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Summary JE Reversal,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,E218 | Void Script Reversal Transaction,,,,,,- None -,,,,0,,
566326931-SUMVOID,JE-DK0290727,TJE-DK0290727,Credit Memo #CM-DK0296892,Journal,1/22/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Summary JE Reversal,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,E218 | Void Script Reversal Transaction,,,,,,- None -,,,,0,,
566326949-SUMVOID,JE-DK0290728,TJE-DK0290728,Credit Memo #CM-DK0296897,Journal,1/22/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Summary JE Reversal,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,E218 | Void Script Reversal Transaction,,,,,,- None -,,,,0,,
566920577-VOID,JE-DK0290729,TJE-DK0290729,Credit Memo #CM-DK0297253,Journal,1/23/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,GMAX,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,E218 | Void Script Reversal Transaction,,,,,,- None -,25,,0,-25,,
567980921-SUMVOID,JE-DK0290730,TJE-DK0290730,Credit Memo #CM-DK0297881,Journal,1/27/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Summary JE Reversal,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,E218 | Void Script Reversal Transaction,,,,,,- None -,,,,0,,
- None -,2470,BL-DK0406898, ,Bill,2/6/2020,Mar-20,NET 8,2/6/2020,Coupa,DK107464,,ADVENTURE INTERNATIONAL TOURS INC - DK,342519000,ADVENTURE INTERNATIONAL TOURS INC - DK LEGASPI VILLAGE 1229 Makati City  Philippines,Philippines,Makati City,- None -,Philippines,1229,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,US Dollar,Adventure INT 2020 Year PO,,DK-Z,,,DK-Z,- None -,,-347811.15,,,347811.15,0
- None -,2471,BL-DK0406899, ,Bill,2/6/2020,Mar-20,NET 8,2/6/2020,Coupa,DK107464,,ADVENTURE INTERNATIONAL TOURS INC - DK,342519000,ADVENTURE INTERNATIONAL TOURS INC - DK LEGASPI VILLAGE 1229 Makati City  Philippines,Philippines,Makati City,- None -,Philippines,1229,Procurement,- None -,Copenhagen K,- None -,Denmark,DK-1366,US Dollar,Adventure INT 2020 Year PO,,DK-Z,,,DK-Z,- None -,,-69562.23,,,69562.23,0
